trigger_name,table_name,definition
RI_ConstraintTrigger_c_17559,encaissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17559"" AFTER INSERT ON public.encaissements FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17560,encaissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17560"" AFTER UPDATE ON public.encaissements FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17574,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17574"" AFTER DELETE ON public.profiles FROM audit_logs NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17575,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17575"" AFTER UPDATE ON public.profiles FROM audit_logs NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17576,audit_logs,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17576"" AFTER INSERT ON public.audit_logs FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17577,audit_logs,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17577"" AFTER UPDATE ON public.audit_logs FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
trigger_generate_numero_commande,commandes,CREATE TRIGGER trigger_generate_numero_commande BEFORE INSERT ON public.commandes FOR EACH ROW EXECUTE FUNCTION generate_numero_commande()
trigger_generate_numero_ravitaillement,ravitaillements,CREATE TRIGGER trigger_generate_numero_ravitaillement BEFORE INSERT ON public.ravitaillements FOR EACH ROW EXECUTE FUNCTION generate_numero_ravitaillement()
trigger_generate_numero_facture,factures,CREATE TRIGGER trigger_generate_numero_facture BEFORE INSERT ON public.factures FOR EACH ROW EXECUTE FUNCTION generate_numero_facture()
trigger_update_stock_after_validation,commandes,CREATE TRIGGER trigger_update_stock_after_validation AFTER UPDATE ON public.commandes FOR EACH ROW EXECUTE FUNCTION update_stock_after_commande_validation()
trigger_generate_facture,commandes,CREATE TRIGGER trigger_generate_facture AFTER UPDATE ON public.commandes FOR EACH ROW EXECUTE FUNCTION generate_facture_after_validation()
trigger_update_facture_after_encaissement,encaissements,CREATE TRIGGER trigger_update_facture_after_encaissement AFTER INSERT ON public.encaissements FOR EACH ROW EXECUTE FUNCTION update_facture_after_encaissement()
trigger_update_table_on_commande_create,commandes,CREATE TRIGGER trigger_update_table_on_commande_create AFTER INSERT ON public.commandes FOR EACH ROW EXECUTE FUNCTION update_table_status_on_commande_create()
